"ﺍﻳﺪﯨﻦ 5- ﻛﯣﻧﯣﻧﯡﻥ 11- ﺍﻳﺪﯨﻦ 10- ﻛﯣﻧﯣﻧﯡ ﭼەﻳﯩﻦ، 2- ﻛەﺯەﻛﺘﯣﯢ ﺟﯘﯕﮕﻮ ەﻝ ﺍﺭﺍﻟﯩﻖ ﺋﻤﭙﻮﺭﺕ ﻛﯡﺭﮔﯡﺯﻣﯡﺳﯣ ﺟﯘﯕﮕﻮ 11-",ky
"ﺷﺎﯕﺤﺎﻱ ﻣﺎﻣﻠەﻛەﺗﺘﯩﻚ ﻛﯡﺭﮔﯡﺯﻣﯡ ﺑﻮﺭﺑﻮﺭﯗﻧﺪﺍ ﯠﺗﺘﯣ، ﺷﺌﻨﺠﺎﯕﺪﺍﻥ 200 ﺩﯠﻥ ﺍﺷﯘﯗﻥ ﻛەﺭﻗﺎﻧﺎ ﺩﺍﻋﯩﺪﺍ ﺍﭼﯩﭗ ﺟﯩﺒەﺭﯢﯢ ﻣﺎﺍﻧﺎﻳﻰ",ky
"ﻣەﻧەﻥ ﺗﯩﺸﻘﻰ ﺳﻮﻭﺩﺍ ﺩﻭﺳﺘﻮﺭ ﭼﺎﻣﻌﺎﺭﺍﻋﯩﻦ ﻛەﯕﯩﺮﺗﯩﭗ، »ﺑﺌﺮ ﺍﻟﻘﺎﻕ، ﺑﺌﺮ ﺟﻮﻝ« ﻗﯘﺭﯗﻟﯘﺷﯘﻥ ﯨﻤەﺭﭼﯩﻜﺘەﭖ ﻛﯡﻣﯡﻛﺘﯡﺷﺘﯣﻙ",ky
"ﻣﯡﻟﺘﯣﺭ ﺳﯘﯗ، ﺟﺎﺷﯩﻞ ﺗﻮﻭﻧﯘﻥ ﯠﺯﯢ ﺍﻟﺘﯩﻦ ﺗﻮﻭ، ﻛﯣﻣﯣﺵ ﺗﻮﻭ«. ﭘﺎﺭﺗﺌﻴﺎ 19- ﻛەﺯەﻛﺘﯣﯢ ﺑﻮﺭﺑﻮﺭﺩﯗﻕ ﻛﻮﻣﯩﺘەﺗﻰ 4- ﺟﺎﻟﭙﻰ»",ky
ەﻣﻰ ﯨﺴﺘﺎﻧﺴﯩﻴﺎﺑﯩﺰ ﻗﺎﺑﺎﺭﭼﯩﺴﻰ ﺩﻭﯓ ﺟﯩﻴﻮﯕﺪﯗﻥ ﺑﯘﻝ ﺟﯡﻧﯣﻧﺪﯠﻛﯣ ﻗﺎﺑﺎﺭﻯ ﻧﺎﺯﺍﺭﯨﯖﯩﺰﺩﺍﺭﺩﺍ,ky
"ﺗﺎﺭﺑﺎﻋﺎﺗﺎﻱ ﺭﺍﺩﯨﻴﻮ- ﺗەﻟەﯞﯨﺰﯨﻴﺎ ﯨﺴﺘﺎﻧﺴﯩﻴﺎﺳﯩﻨﯩﻦ ﻗﺎﺑﺎﺭﭼﯩﻼﺭﻯ ﻗﯘﺭﻣەﺕ، ﺟﻮﯞ ﯞﯨﻨﺸﺌﻦ، ەﺭﺗﺎﻳﺪﯨﻦ ﻗﺎﺑﺎﺭﻯ ﻧﺎﺯﺍﺭﯨﯖﯩﺰﺩﺍﺭﺩﺍ",ky
"ﺟﯩﻠﻰ 9-ﺍﻳﺪﺍ، 21 ﺟﺎﺷﺘﯘﯗ ﭼﯩﻦ ﺟﺌﻨﺮﯗﯓ ﺗﺎﺭﺑﺎﻋﺎﺗﺎﻱ ﺍﻳﻤﺎﻗﺘﯩﻖ ﯠﺯﮔﯡﭼﯡ ﺍﻋﺎﺭﺗﯘﯗ ﻣەﻛﺘەﺑﯩﻨە ﻛەﻟﯩﭗ، ﺑﺌﺮ ﯠﺯﮔﯡﭼﯡ2000-",ky
"ﺑﻮﻟﺒﻮﺳﺘﯘﻕ ﺳﯩﻴﺎﻗﺘﯘﯗ ﻣﺎﺳەﻟەﻟەﺭﺩﻯ ﯨﻤەﺭﭼﯩﻜﺘەﻱ، ﺗەﺭەﯕﺪەﻱ ﺗﺎﻟﻘﯘﯗ ﺍﻟﯩﭗ ﺑﺎﺭﯨﭗ، ﻭﻗﯘﺗﯘﯗﭼﯘﻻﺭﺩﯨﻦ ﻭﻗﯘﺗﯘﯗ ﻛﯡﺯ ﻗﺎﺭﺍﺷﯩﻦ",ky
"ﻣﺎﻣﻠەﻛەﺕ، ﺭﺍﻳﻮﻥ، ەﻝ ﺍﺭﺍﻟﯩﻖ ﯗﻳﯘﻡ ﻛﯡﺭﮔﯡﺯﻣﯡﮔﯡ ﻗﺎﺗﯩﺸﯩﭗ، 3800 ﺩﯠﻥ ﺍﺷﯘﯗﻥ ﻛەﺭﻗﺎﻧﺎ ﻛﯡﺭﮔﯡﺯﻣﯡﮔﯡ ﻗﺎﺗﯩﺸﺘﻰ، ﻣﯩﻨﺎ 181",ky
ﺑﯘﻝ 2- ﻛەﺯەﻛﺘﯣﯢ ﺋﻤﭙﻮﺭﺕ ﻛﯡﺭﮔﯡﺯﻣﯡﺳﯣ ﻗﺎﻣﺪﺍﻋﺎﻥ ﺩﻭﺳﺘﻮﺭ ﭼﺎﻣﻌﺎﺭﺍﻋﻰ ەﻟە,ky
"ﻛﯣﻥ ﯨﭽﯩﻨﺪە، 200 ﺩﯠﻥ ﺍﺷﯘﯗﻥ ﻛەﺭﻗﺎﻧﺎ ﻣﯩﻨﺎ ﯗﺷﯘﻝ ﺍﻳﺎﺑﺎﻋﺎﻧﺪﺍﻱ ﻛەﻧەﻥ ﺩﻭﺳﺘﻮﺭ ﭼﺎﻣﻌﺎﺭﺍﻋﯩﻨﺎﻥ ﯠﺯﺩﯠﺭﯢﻧﯡ ﯠﻧﯡﻛﺘﯡﺵ 6",ky
"ﯨﺰﺩەﻧﺪﻯ. ﺍﻝ ﺍﻟﺪﻯ ﺍﺭﺗﻰ ﺑﻮﻟﯘﭖ ﻣەﻛﺘەﭖ ﺟﺎﯕﻰ ﺳﺎﺑﺎﻕ ﯨﺴﻼﺍﺗﻰ ﺑﻮﻳﯘﻧﭽﺎ ﻣﺎﺗەﻣﺎﺗﯩﻜﺎ ﺋﻠﯩﻤﯩﻨﯩﻦ ﺑﺎﺷﺘﺎﻣﭽﯩﺴﻰ، ﻭﻗﯘﺗﯘﯗ ﯨﺰﯨﻠﺪﯠﯠ",ky
